This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'stock 8000'

stock 8000
Symbol,Last,%Change,ivP,ivR,Div. Yield - Current,Bid,Ask,Market Maker Move
AAL,27.30,-1.27%,76.0,44.0,1.4831,27.30,27.31,±0.484
NEM,43.325,+1.16%,14.0,32.0,1.4768,43.32,43.33,±0.167
EOG,87.76,+3.26%,28.0,40.0,1.3676,87.75,87.77,±0.822
MSFT,158.36,-0.16%,39.0,28.0,1.3594,158.35,158.36,<empty>
CSX,72.07,-1.12%,76.0,50.0,1.357,72.07,72.08,<empty>
DIS,145.37,-0.77%,72.0,51.0,1.3543,145.37,145.39,<empty>
AXP,123.87,-0.59%,39.0,34.0,1.3527,123.85,123.86,<empty>
ETFC,45.40,0.00%,29.0,31.0,1.2818,45.39,45.40,<empty>
EBAY,35.74,-0.61%,52.0,35.0,1.0775,35.74,35.75,<empty>
PBR,16.29,+1.88%,6.0,12.0,.98171,16.28,16.29,<empty>
MRVL,25.885,-2.94%,21.0,24.0,.95465,25.88,25.89,±0.217
COST,291.83,+0.03%,17.0,19.0,.84194,291.80,291.86,±3.472
ATVI,59.69,+1.74%,18.0,19.0,.64248,59.68,59.69,±0.442
V,188.035,-0.83%,58.0,37.0,.58136,188.02,188.05,<empty>
MA,298.58,-0.62%,44.0,30.0,.48606,298.57,298.61,<empty>
GE,12.02,+0.42%,21.0,12.0,.44743,12.01,12.02,±0.262
ADBE,333.085,+0.38%,13.0,17.0,0,333.04,333.13,±1.284
ALGN,283.89,+1.23%,53.0,40.0,0,283.78,284.00,<empty>
AMRN,21.00,+0.24%,44.0,27.0,0,21.00,21.01,<empty>
AMZN,1896.43,+1.14%,56.0,36.0,0,1896.12,1896.68,<empty>
ISRG,595.5795,+0.38%,63.0,49.0,0,595.30,595.72,±16.125
BIDU,136.31,+1.88%,50.0,39.0,0,136.24,136.31,±0.9
EA,108.97,+1.65%,17.0,22.0,0,108.95,108.99,±1.141
CMG,859.96,-0.60%,62.0,53.0,0,859.66,859.96,<empty>
CNC,62.5498,+2.27%,33.0,28.0,0,62.53,62.56,<empty>
CRM,172.185,+3.62%,13.0,22.0,0,172.16,172.21,±1.946
ENPH,28.8427,-1.53%,27.0,29.0,0,28.84,28.86,±1.11
ETSY,44.59,-0.69%,11.0,10.0,0,44.57,44.58,<empty>
GOOG,1386.43,+1.89%,52.0,49.0,0,1386.37,1386.66,±8.249
FEYE,17.60,+2.27%,67.0,41.0,0,17.59,17.60,±0.424
GOOGL,1388.445,+1.98%,50.0,47.0,0,1388.31,1388.57,±9.346
JD,37.835,-0.41%,5.0,8.0,0,37.83,37.84,±0.442
PYPL,109.215,+0.42%,65.0,42.0,0,109.20,109.23,<empty>
OKTA,122.71,+3.74%,10.0,13.0,0,122.66,122.72,±1.315
MU,53.6231,-1.66%,7.0,15.0,0,53.62,53.63,±0.388
MYL,20.62,+2.08%,30.0,29.0,0,20.61,20.62,<empty>
NFLX,333.5352,+2.34%,51.0,31.0,0,333.49,333.54,±5.585
NOW,291.35,+0.09%,58.0,36.0,0,291.21,291.37,±3.885
PCG,10.54,-0.28%,59.0,31.0,0,10.54,10.55,<empty>
SPWR,7.315,-0.68%,79.0,53.0,0,7.31,7.32,±0.32
TLRY,15.43,-3.62%,48.0,33.0,0,15.42,15.45,<empty>
TSLA,444.8707,+0.42%,28.0,30.0,0,444.75,444.94,<empty>
TWLO,107.23,+3.58%,31.0,24.0,0,107.20,107.24,±1.04
SNAP,16.685,-0.39%,56.0,24.0,0,16.68,16.69,<empty>
W,94.1901,+0.16%,64.0,52.0,0,94.19,94.26,<empty>
